,image,label
1,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1003.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1003.tif
2,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1004.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1004.tif
3,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1006.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1006.tif
4,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1007.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1007.tif
5,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1009.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1009.tif
8,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1016.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1016.tif
9,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1017.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1017.tif
11,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1021.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1021.tif
12,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1023.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1023.tif
13,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1025.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1025.tif
14,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1028.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1028.tif
16,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1032.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1032.tif
17,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1034.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1034.tif
19,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1037.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1037.tif
21,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1041.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1041.tif
23,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1047.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1047.tif
24,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1048.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1048.tif
27,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1056.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1056.tif
28,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img106.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img106.tif
29,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1061.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1061.tif
30,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1062.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1062.tif
33,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1070.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1070.tif
35,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1075.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1075.tif
36,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1080.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1080.tif
37,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1082.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1082.tif
38,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1086.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1086.tif
39,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1088.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1088.tif
40,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1089.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1089.tif
41,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img109.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img109.tif
42,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1090.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1090.tif
45,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1097.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1097.tif
46,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1098.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1098.tif
47,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img110.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img110.tif
48,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1100.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1100.tif
51,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1103.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1103.tif
52,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1104.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1104.tif
53,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1105.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1105.tif
54,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1106.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1106.tif
58,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1112.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1112.tif
59,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1113.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1113.tif
60,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1115.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1115.tif
61,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1117.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1117.tif
62,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1118.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1118.tif
63,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1119.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1119.tif
64,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1120.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1120.tif
65,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1122.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1122.tif
66,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1124.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1124.tif
67,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1126.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1126.tif
68,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1127.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1127.tif
69,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1129.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1129.tif
70,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img113.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img113.tif
71,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1130.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1130.tif
72,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1131.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1131.tif
73,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1134.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1134.tif
74,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1139.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1139.tif
75,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1141.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1141.tif
76,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1142.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1142.tif
79,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1145.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1145.tif
80,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1147.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1147.tif
81,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1149.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1149.tif
83,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1152.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1152.tif
84,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1155.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1155.tif
85,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1156.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1156.tif
86,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1158.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1158.tif
87,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img116.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img116.tif
88,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1161.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1161.tif
89,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1162.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1162.tif
92,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1166.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1166.tif
95,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1170.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1170.tif
97,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1173.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1173.tif
98,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1176.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1176.tif
100,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1179.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1179.tif
106,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1187.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1187.tif
107,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1190.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1190.tif
110,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1196.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1196.tif
111,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1197.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1197.tif
112,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1198.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1198.tif
115,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1205.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1205.tif
117,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1209.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1209.tif
118,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1210.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1210.tif
119,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1211.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1211.tif
120,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1213.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1213.tif
122,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1215.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1215.tif
123,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1216.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1216.tif
124,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1217.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1217.tif
125,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1219.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1219.tif
126,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1220.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1220.tif
127,./data/trees/RGB+ELEV/SN2_buildings_train_AOI_2_Vegas_RGB+ELEV_img1222.tif,./data/trees/masks_trees/SN2_buildings_train_AOI_2_Vegas_mask_buildings_img1222.tif
