,xmin,ymin,xmax,ymax,label,score
0,537.0,449.0,568.0,476.0,Tree,0.800977885723114
1,540.0,110.0,578.0,145.0,Tree,0.7693305611610413
2,543.0,343.0,564.0,363.0,Tree,0.6841214299201965
3,311.0,428.0,335.0,450.0,Tree,0.6703919172286987
4,304.0,154.0,322.0,173.0,Tree,0.6674608588218689
5,447.0,94.0,480.0,126.0,Tree,0.6590359210968018
6,300.0,518.0,317.0,533.0,Tree,0.6580119729042053
7,117.0,310.0,139.0,333.0,Tree,0.6566928625106812
8,224.0,321.0,242.0,340.0,Tree,0.6436832547187805
9,535.0,28.0,572.0,66.0,Tree,0.6341565251350403
10,395.0,15.0,420.0,37.0,Tree,0.6166910529136658
11,223.0,604.0,252.0,631.0,Tree,0.6028109192848206
12,572.0,617.0,591.0,637.0,Tree,0.5919020175933838
13,228.0,283.0,248.0,303.0,Tree,0.5873216986656189
14,211.0,75.0,229.0,94.0,Tree,0.5698630809783936
15,256.0,595.0,289.0,628.0,Tree,0.5607547163963318
16,447.0,253.0,465.0,265.0,Tree,0.5556201934814453
17,74.0,244.0,102.0,270.0,Tree,0.5486466884613037
18,296.0,600.0,331.0,632.0,Tree,0.5308713912963867
19,552.0,253.0,572.0,273.0,Tree,0.530295193195343
20,344.0,23.0,381.0,58.0,Tree,0.5115998387336731
21,83.0,450.0,106.0,474.0,Tree,0.509221613407135
22,97.0,49.0,123.0,72.0,Tree,0.5033418536186218
23,635.0,233.0,649.0,257.0,Tree,0.48826685547828674
24,428.0,72.0,445.0,87.0,Tree,0.482831209897995
25,69.0,436.0,91.0,455.0,Tree,0.4811520576477051
26,10.0,596.0,42.0,628.0,Tree,0.4740279018878937
27,222.0,248.0,235.0,262.0,Tree,0.47381392121315
28,437.0,181.0,450.0,197.0,Tree,0.4715757966041565
29,95.0,325.0,116.0,346.0,Tree,0.4642302393913269
30,323.0,57.0,339.0,72.0,Tree,0.4546465575695038
31,458.0,55.0,474.0,71.0,Tree,0.4494386911392212
32,419.0,200.0,432.0,215.0,Tree,0.4380771517753601
33,232.0,205.0,245.0,217.0,Tree,0.4369216859340668
34,635.0,122.0,649.0,140.0,Tree,0.43444401025772095
35,0.0,438.0,12.0,451.0,Tree,0.424314945936203
36,555.0,369.0,570.0,383.0,Tree,0.4235793650150299
37,451.0,436.0,463.0,449.0,Tree,0.41595715284347534
38,96.0,383.0,110.0,398.0,Tree,0.4131785035133362
39,392.0,391.0,399.0,406.0,Tree,0.41312268376350403
40,640.0,40.0,650.0,65.0,Tree,0.4100293219089508
41,2.0,0.0,12.0,5.0,Tree,0.40645673871040344
42,290.0,630.0,309.0,647.0,Tree,0.4003130793571472
43,636.0,187.0,649.0,212.0,Tree,0.39905649423599243
44,436.0,158.0,448.0,171.0,Tree,0.39360496401786804
45,231.0,526.0,246.0,542.0,Tree,0.3913460075855255
46,405.0,299.0,417.0,311.0,Tree,0.37802207469940186
47,106.0,248.0,126.0,269.0,Tree,0.3743334710597992
48,38.0,467.0,58.0,478.0,Tree,0.37086212635040283
49,0.0,341.0,7.0,357.0,Tree,0.3687314987182617
50,366.0,251.0,379.0,254.0,Tree,0.367416113615036
51,65.0,185.0,77.0,198.0,Tree,0.36694544553756714
52,311.0,390.0,326.0,406.0,Tree,0.36066198348999023
53,97.0,13.0,111.0,28.0,Tree,0.3539603352546692
54,448.0,456.0,460.0,469.0,Tree,0.3516375422477722
55,100.0,297.0,119.0,315.0,Tree,0.34728941321372986
56,251.0,281.0,262.0,295.0,Tree,0.33925363421440125
57,292.0,357.0,304.0,371.0,Tree,0.32889559864997864
58,0.0,296.0,5.0,316.0,Tree,0.3216996192932129
59,128.0,250.0,143.0,267.0,Tree,0.3186799883842468
